Разработка мобильных приложений (Android) | 99 | Очный
Разработка корпоративных приложений на Java | 77 | Очный
Разработка веб-приложений на Python | Django | 66 | Очный
Основы компьютерной графики и графические форматы | 55 | Очный
Разработка корпоративного ПО .NET и JS | 45 | Очный
Fullstack-разработка на Ruby on Rails и React | 44 | Очный
Основы PHP и JavaScript | 40 | Дистанционный
Разработка мобильный приложений (iOS) | 34 | Дистанционный
Программирование на C++ | 32 | Очный
Разработка веб-приложений на PHP | 29 | Очный
